type,name,buoyancy_kg,weight_kg,length_m,width_m,diameter_m,drag,material,comment
wires,5/8 Kevlar,-0.054,0.054,1,0.016,0,1.3,6,
wires,3/16 wire rope,-0.12,0.12,1,0.007,0,1.3,1,
wires,1/4 wire rope,-0.14,0.14,1,0.007,0,1.3,1,
wires,5/16 wire rope,-0.19,0.19,1,0.008,0,1.3,1,
wires,3/8 wire rope,-0.33,0.33,1,0.009,0,1.3,1,The RPS special
wires,1/4 wire/jack,-0.13,0.13,1,0.008,0,1.3,1,
wires,5/16 wire/jack,-0.186,0.186,1,0.011,0,1.3,1,
wires,3/8 wire/jack,-0.318,0.318,1,0.013,0,1.3,1,
wires,1/2 wire/jack,-0.547,0.547,1,0.017,0,1.3,1,
wires,7/16 VLS,-0.023,0.023,1,0.011,0,1.3,1,
wires,1/2 VLS,-0.041,0.041,1,0.013,0,1.3,1,
wires,11mm Perlon,-0.005,0.005,1,0.011,0,1.3,3,
wires,7/16 Dacron,-0.032,0.032,1,0.011,0,1.3,3,
wires,1/2 Dacron,-0.041,0.041,1,0.013,0,1.3,3,
wires,9/16 Dacron,-0.058,0.058,1,0.014,0,1.3,3,
wires,3/4 Dacron,-0.099,0.099,1,0.019,0,1.3,3,
wires,5/8 Nylon,-0.022,0.022,1,0.016,0,1.3,2,
wires,3/4 Nylon,-0.03,0.03,1,0.019,0,1.3,2,
wires,1 Nylon,-0.05,0.05,1,0.025,0,1.3,2,
wires,3/4 Polyprop,0.016,None,1,0.019,0,1.3,4,
wires,1/2 Neutral Wire,0,None,1,0.013,0,1.5,6,
wires,1in Neutral Wire,0,None,1,0.025,0,0,6,
wires,12 mm Aquatec,0.008,None,1,0.012,0,1.3,4,
wires,6mm AmSteel,0.001,None,1,0.006,0,1.3,4,Rigging shed
miscs,ww turnaround bumper,-0.05,None,0.2,0.025,0,1.3,5,Guessed values
wires,ww 3/16 profiling wire,-0.12,None,1,0.007,0,1.3,1,Guessed values
rigging,ww 1/2inch shackle,-0.65,None,0.047,0.025,0,1.3,1,Guessed values
rigging,ww pear link,0.5,None,0.13,0.025,0,1.3,1,Guessed values
chains,ww swivel,-2,None,0.2,0.06,0,1.3,1,Guessed values
anchors,ww down weights,-41,-41,0.4,0.2,0,1.3,1,Guessed values
miscs,wirewalker profiler,0,None,1.2,0.5,0,1.3,5,Guessed values
floats,ww surface buoy,133,None,0.71,0,0.71,0.65,1,Guessed values
cms,600ADCP+Frame (UWA),-60,None,1.5,0.4,0,1.3,1,Guessed values  
cms,600kHz,-60,None,1.5,0.4,0,1.3,1,Guessed values
arcels,6mm dyneema spooled 350m,None,None,0.3,0.3,None,None,1,Guessed values
